f1,5798,0.32090637,7162,0.2999884,5769,0.28587878,5768,0.28587878,5983,0.27361697,1068,0.1978643,5725,0.19121437,1118,0.18847543,2234,0.18219915,5452,0.15882133
f2,7148,0.22819309,6074,0.19050004,5790,0.1879976,5785,0.16948532,5803,0.15078194,5071,0.14672206,475,0.14566925,5916,0.14532217,5915,0.14532217,5917,0.14532217
f3,5704,0.09091354,5703,0.06914755,8683,0.064037494,7540,0.058441736,7185,0.05654682,8746,0.054003727,6653,0.052577585,3714,0.052239917,6983,0.052199017,7295,0.050104316
f4,1362,0.033768263,7082,0.02508351,8668,0.022802494,8667,0.022802494,6511,0.022454135,748,0.021951962,1620,0.019821657,706,0.019246401,8092,0.019235877,4964,0.0183585
f5,4176,0.073944606,4191,0.065533236,3347,0.057585828,3911,0.051070854,4774,0.039402373,2105,0.03743336,2638,0.035282727,3170,0.027709505,714,0.024591638,1475,0.023671217
f6,7572,0.054979883,5258,0.050050445,7182,0.04520859,7191,0.042732112,7251,0.041459374,8730,0.03868983,8729,0.03868983,5263,0.03539101,5257,0.03539101,6211,0.032479167
f7,735,0.06029256,4845,0.05776762,2330,0.032258563,2261,0.031919852,2392,0.031854097,2328,0.031418387,1982,0.031076642,3608,0.03084352,1900,0.030341491,2258,0.030244093
f8,1620,0.025026139,1687,0.020020911,354,0.015015684,1362,0.015015684,1741,0.012513069,1781,0.012513069,8042,0.010727722,8654,0.010617691,3199,0.010010456,7660,0.010010456
f9,2078,0.034113232,3487,0.033403583,2063,0.032933168,2296,0.032080412,2289,0.031981356,2050,0.030500546,1950,0.030340182,2370,0.029785126,2416,0.028193401,2180,0.02813612
f10,4861,0.18576555,3346,0.16331536,4809,0.15227121,7327,0.14758356,6211,0.14697766,902,0.13991192,553,0.13929664,5031,0.13722664,7841,0.135834,7939,0.1339035
f11,2369,0.17141908,8653,0.13773096,8651,0.13773096,5771,0.13637258,5803,0.13598664,7117,0.13400337,7517,0.119240835,5796,0.11658303,2305,0.10800941,1946,0.105899826
f12,2126,0.037125774,7613,0.028940355,7495,0.026424767,5266,0.02389462,5264,0.018522035,6139,0.016851455,7999,0.016405843,6211,0.016379707,4981,0.016269963,689,0.016209316
f13,4425,0.10509223,8745,0.103582695,3383,0.10271036,1112,0.09904077,5339,0.09593198,643,0.09307588,2115,0.09271314,8746,0.09253611,2301,0.08885641,740,0.08668942
